index,item_id
0,B07G584SHG
1,B07QL1JRCN
2,B07RBYJN37
3,B07KM6T8GV
4,B07NVL6TJG
5,B07R7WVRGL
6,B08D9S6BZY
7,B08C7HCJGF
8,B07VGNQD8K
9,B07S5S45K7
10,B0742LVLMJ
11,B07G4ZWJB6
12,B08MV51CXP
13,B07H3QNJ1Q
14,B07DX25MZK
15,B07GC3X8V7
16,B01M7UD21X
17,B07NL8P5Q6
18,B07WFHJDB7
19,B08W59Z9WW
20,B01M7UDAVI
21,B08425CZRC
22,B07SDGKP88
23,B01M71IUZ7
24,B07MFQFKGD
25,B07XZ9MXHJ
26,B07XGDM47D
27,B081JS67KV
28,B08GZ1KQTB
29,B07MGJZ2MH
30,B087YPRGKB
31,B08667FB4J
32,B07S5C7LR4
33,B07WGGH1C1
34,B082MH51J3
35,B09293LP97
36,B09T3S8D1P
37,B07VXJR1PF
38,B07NL91XW9
39,B07F8Y6BH9
40,B07R14ZBP3
41,B07R1VPNFF
42,B08KWDXTH9
43,B086JBCVB4
44,B07KRGB574
45,B07KSZGDD1
46,B07QHDPWTR
47,B07S63NKNB
48,B09BDBSZ7F
49,B07KSDPDM6
50,B08LDV5MBB
51,B092R25R68
52,B07T43BXRD
53,B07FT4FMWX
54,B07G5GNLG9
55,B09CR7BH9K
56,B07XH69M6H
57,B07KJLV75L
58,B07WC2239F
59,B09LWMGCTS
60,B08DYDKVB6
61,B07L3W2MDL
62,B09BDBXJYK
63,B07WV4XWTM
64,B07HQJPGL2
65,B07KCLWKR3
66,B07MZFYSHZ
67,B07DVM8MM5
68,B08KWK6N6H
69,B084KNZBM8
70,B07DNLPCB9
71,B07G5915QC
72,B07N7BG8MX
73,B08D1W87FB
74,B07QD9WBGB
75,B098BKMW6Y
76,B08Z48VW38
77,B07GNWX112
78,B07ZHGPJG5
79,B0848NZB7Z
80,B08MW8X5WB
81,B07T5JT9D4
82,B084KNDTWP
83,B095WFPM47
84,B07R99144F
85,B07HP75X12
86,B09Y72P3QD
87,B075NM1M1Y
88,B08D6WQ1Z7
89,B0B4BJYG11
90,B0B4XCLV18
91,B0BFJWB9L2
92,B08SHQ43N1
93,B07GNX2VPX
94,B07XKF8CB3
95,B08PKWR7V5
96,B08HHDQPPN
97,B07KC11QFV
98,B07KT17L2S
99,B08DDLB9S5
100,B07WT5CCKH
101,B093T2CT9H
102,B07DNLG9ZR
103,B07QF978WX
104,B07VXY755K
105,B07DNKDLYV
106,B07DVXFP2N
107,B09Y79XYPP
108,B0B6CPL52Y
109,B07SPDBR1J
110,B08M639361
111,B07Y23PKWC
112,B07H3S5Y9V
113,B07J2LNG43
114,B07KG71FKH
115,B082M86VL6
116,B07GS3H343
117,B08LDMKH6K
118,B08F814PSW
119,B089NZ8D82
